Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2018-10-25,2740.89990234375,0.34,0.34,274874.4154217377,51.662584051249375,416476.3870026329,BUY,0.015248089958760147,0.0,0.0,0.0,-0.00015202264153368894,657.2297945502416,502954.3326789518,814.4624230526397
2018-10-26,2556.610107421875,0.34,0.34,268590.62998857803,54.12044237501871,406955.49998269405,BUY,2.4578583237693366,0.0,0.0,0.0,-0.022860568611009047,639.9190908776255,469137.20906009444,752.9767437456263
2018-10-29,2511.679931640625,0.34,0.34,266985.7469356608,54.759410355253735,404523.8589934254,BUY,0.638967980235023,0.0,0.0,0.0,-0.005975201193673674,635.4979254425916,460892.5349084105,737.986427106201
2018-10-30,2481.615966796875,0.34,0.33999999999999997,265899.1988437228,55.197249290236265,402877.5740056406,BUY,0.4378389349825298,0.0,0.0,0.0,-0.00406968575816824,632.5046800102556,455375.8061279316,727.9560111416938
2018-10-31,2704.9169921875,0.34,0.34,274034.0964047889,52.189801156130194,415203.1763708923,SELL,3.0074481341060704,0.0,0.0,0.0,0.030593915274815364,654.9148661288951,496351.47915992764,802.4572348362321
2018-11-01,2724.5810546875,0.34,0.3400000000000001,274711.43032257474,51.94120003023581,416229.43988268904,SELL,0.24860112589438188,0.0,0.0,0.0,0.002471714019066207,656.7807997867073,499959.82889352704,809.0178707155037
2018-11-02,2662.908935546875,1.0,0.9999999999999999,5.820766091346741e-11,155.1033572694423,413026.1160061174,BUY,103.1621572392065,1.0,1.0,0.0,-0.007696053113096735,650.956574556577,488643.0130182935,788.4418418514426
2018-11-05,2552.613037109375,1.0,0.9999999999999999,5.820766091346741e-11,155.1033572694423,395918.8518654117,HOLD,0.0,1.0,1.0,0.0,-0.041419327925627636,619.8524579371121,468403.747823522,751.6431778609491
2018-11-06,2636.02392578125,1.0,0.9999999999999999,5.820766091346741e-11,155.1033572694423,408856.16073124716,HOLD,0.0,1.0,1.0,0.0,0.032676667970924056,643.3748376931766,483709.6215674877,779.472039213614
2018-11-07,2816.998046875,1.0,0.9999999999999999,5.820766091346741e-11,155.1033572694423,436925.8544917744,HOLD,0.0,1.0,1.0,0.0,0.06865420276491374,694.4106445304989,516918.3200059217,839.8514909198576
