,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
1135,2017-07-12,1780.197021484375,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,175457.06857568864,BUY,35.199754674307684
1136,2017-07-13,1792.2769775390625,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,176647.67481325625,HOLD,0.0
1137,2017-07-14,1797.10595703125,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,177123.62133809924,HOLD,0.0
1138,2017-07-17,1824.6419677734375,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,179837.58370675007,HOLD,0.0
1139,2017-07-18,1840.824951171875,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,181432.5862787302,HOLD,0.0
1140,2017-07-19,1886.1180419921875,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,185896.69493982548,HOLD,0.0
1141,2017-07-20,1903.2540283203125,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,187585.62593566484,HOLD,0.0
1142,2017-07-21,1897.093017578125,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,186978.39377470652,HOLD,0.0
1143,2017-07-24,1895.5789794921875,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,186829.1694579233,HOLD,0.0
1144,2017-07-25,1907.9620361328125,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,188049.64943398748,HOLD,0.0
1145,2017-07-26,1915.031005859375,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,188746.37046604423,HOLD,0.0
1146,2017-07-27,1957.886962890625,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,192970.2740570293,HOLD,0.0
1147,2017-07-28,1863.487060546875,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,183666.17460108545,HOLD,0.0
1148,2017-07-31,1842.85302734375,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,181632.47443474375,HOLD,0.0
1149,2017-08-01,1840.2950439453125,2.0,1.0,0.9999999999999999,2.1827872842550278e-11,98.56047755286541,181380.35836942145,HOLD,0.0
