Date,LQQ3_Price,TQQQ_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,BuyHold_Value
2016-03-15,1070.14794921875,3.793694257736206,1.0,0.0,100.45973339498116,107506.77767170146,HOLD,-0.0002504319837679514,196371.83656609227
2016-03-16,1097.7230224609375,3.890475273132324,1.0,0.0,100.45973339498116,110276.96217795869,HOLD,0.025767533603478165,201431.8544635858
2016-03-17,1094.68994140625,3.8792784214019775,1.0,0.0,100.45973339498116,109972.25966383942,HOLD,-0.002763065903353068,200875.2849746683
2016-03-18,1102.487060546875,3.9016737937927246,1.0,0.0,100.45973339498116,110755.55617395551,HOLD,0.0071226735952363285,202306.05406289292
2016-03-21,1114.3299560546875,3.948065757751465,1.0,0.0,100.45973339498116,111945.29029929498,HOLD,0.01074198140877769,204479.22193451968
2016-03-22,1122.2769775390625,3.9832589626312256,1.0,0.0,100.45973339498116,112743.64595889948,HOLD,0.007131659201293994,205937.49805910245
2016-03-23,1095.5860595703125,3.888476610183716,1.0,0.0,100.45973339498116,110062.28345569153,HOLD,-0.023782825900321103,201039.72239641513
2016-03-24,1097.718017578125,3.8872768878936768,1.0,0.0,100.45973339498116,110276.45938876568,HOLD,0.0019459521131992563,201430.93606904944
2016-03-29,1143.781005859375,4.058444499969482,1.0,0.0,100.45973339498116,114903.9349108762,HOLD,0.0419624963274976,209883.48098409132
2016-03-30,1161.5279541015625,4.11923360824585,1.0,0.0,100.45973339498116,116686.78859986088,HOLD,0.015516036856070503,213140.04081052085
2016-03-31,1155.8349609375,4.095239162445068,1.0,0.0,100.45973339498116,116114.87202437971,HOLD,-0.004901296730706717,212095.37822531353
2016-04-01,1193.1910400390625,4.231612205505371,1.0,0.0,100.45973339498116,119867.65377160451,HOLD,0.03231956149800386,218950.20784530896
2016-04-04,1177.7840576171875,4.179222583770752,1.0,0.0,100.45973339498116,118319.87242508178,HOLD,-0.012912418803757264,216123.03106444064
2016-04-05,1145.616943359375,4.066843032836914,1.0,0.0,100.45973339498116,115088.37270265604,HOLD,-0.027311555161385725,210220.3749798783
2016-04-06,1201.717041015625,4.261607646942139,1.0,0.0,100.45973339498116,120724.17355663533,HOLD,0.048969333057997444,220514.72653784504
2016-04-07,1147.31103515625,4.077641010284424,1.0,0.0,100.45973339498116,115258.56071291673,HOLD,-0.045273557753158,210531.24033051208
2016-04-08,1146.9449462890625,4.068044185638428,0.0,76046.37712512733,34.1563093542936,115221.7835229202,SELL,-0.0003190842378132386,210464.06313015535
2016-04-11,1134.197998046875,4.024451732635498,0.0,76046.37712512733,34.1563093542936,114786.39481543688,HOLD,-0.0037787013372927447,208125.00184544356
2016-04-12,1162.5989990234375,4.118433475494385,0.0,76046.37712512733,34.1563093542936,115756.46819076393,HOLD,0.008451118069234598,213336.57724130776
2016-04-13,1208.093017578125,4.27920389175415,0.0,76046.37712512733,34.1563093542936,117310.37596228783,HOLD,0.013423939031753207,221684.71637746913
2016-04-14,1207.85498046875,4.282002925872803,1.0,0.0,97.11616658451746,117302.24549314221,BUY,-6.930733175924964e-05,221641.03663732385
2016-04-15,1198.635009765625,4.249209403991699,0.0,76828.51260640589,33.01949663873593,116406.83728243315,SELL,-0.0076333424560181,219949.1747023643
2016-04-18,1219.261962890625,4.311997413635254,1.0,0.0,96.03180649892457,117087.92889181145,BUY,0.0058509588034403315,223734.21458481796
2016-04-19,1193.157958984375,4.237612724304199,0.0,75623.53539829393,32.65081420963435,114581.11423983928,SELL,-0.021409676263796973,218944.1374814221
2016-04-20,1195.7080078125,4.24800968170166,0.0,75623.53539829393,32.65081420963435,114664.37541035187,HOLD,0.0007266570155559648,219412.07069764487
2016-04-21,1195.89501953125,4.249209403991699,0.0,75623.53539829393,32.65081420963435,114670.48149523581,HOLD,5.3251804338350084e-05,219446.38729349233
2016-04-22,1143.2149658203125,4.056846618652344,0.0,75623.53539829393,32.65081420963435,112950.43484896643,HOLD,-0.0149999077691223,209779.61280201256
2016-04-25,1142.968994140625,4.053646087646484,0.0,75623.53539829393,32.65081420963435,112942.40367335212,HOLD,-7.110353868977626e-05,209734.47707052913
2016-04-26,1126.656005859375,3.998056650161743,0.0,75623.53539829393,32.65081420963435,112409.7713237771,HOLD,-0.004715964352197455,206741.04847870796
2016-04-27,1099.0830078125,3.9020743370056152,0.0,75623.53539829393,32.65081420963435,111509.49048734596,HOLD,-0.008008919739174947,201681.41137894904
2016-04-28,1059.8690185546875,3.763700008392334,0.0,75623.53539829393,32.65081420963435,110229.12180967053,HOLD,-0.011482149833880961,194485.6557871532
2016-04-29,1043.31103515625,3.7037112712860107,0.0,75623.53539829393,32.65081420963435,109688.49017004194,HOLD,-0.0049046171352256085,191447.27066278254
2016-05-03,1042.6219482421875,3.700512170791626,0.0,75623.53539829393,32.65081420963435,109665.99092123659,HOLD,-0.00020511950497703602,191320.8234150287
2016-05-04,1021.9099731445312,3.6273252964019775,0.0,75623.53539829393,32.65081420963435,108989.72807040844,HOLD,-0.006166568551902785,187520.18202538983
2016-05-05,1021.4609985351562,3.6253252029418945,0.0,75623.53539829393,32.65081420963435,108975.06868385289,HOLD,-0.00013450246014079514,187437.79531551586
2016-05-06,1036.1639404296875,3.677716016769409,0.0,75623.53539829393,32.65081420963435,109455.1317079863,HOLD,0.004405255531667596,190135.78086495458
2016-05-09,1043.85205078125,3.7101101875305176,0.0,75623.53539829393,32.65081420963435,109706.15477069831,HOLD,0.0022933877909143696,191546.54687217934
2016-05-10,1087.6500244140625,3.8656809329986572,0.0,75623.53539829393,32.65081420963435,111136.19427054175,HOLD,0.013035180230611676,199583.46225983906
2016-05-11,1057.2030029296875,3.7601003646850586,0.0,75623.53539829393,32.65081420963435,110142.07422881867,HOLD,-0.008945061041977564,193996.44269752636
2016-05-12,1043.8709716796875,3.707310676574707,0.0,75623.53539829393,32.65081420963435,109706.77255343788,HOLD,-0.0039521833815882035,191550.01885152422
2016-05-13,1032.3809814453125,3.6625185012817383,0.0,75623.53539829393,32.65081420963435,109331.6150170248,HOLD,-0.003419638803341396,189441.6089946461
2016-05-16,1070.9530029296875,3.8036930561065674,0.0,75623.53539829393,32.65081420963435,110591.02292420114,HOLD,0.01151915579935614,196519.56368725022
2016-05-17,1029.7840576171875,3.657719135284424,0.0,75623.53539829393,32.65081420963435,109246.8233395961,HOLD,-0.012154689856936685,188965.07422959476
2016-05-18,1040.93701171875,3.699312448501587,0.0,75623.53539829393,32.65081420963435,109610.9763718548,HOLD,0.003333305455726965,191011.6380544005
