combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
110,False,False,True,True,False,True,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
111,False,False,True,True,False,True,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
112,False,False,True,True,True,False,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
113,False,False,True,True,True,False,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
114,False,False,True,True,True,False,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
115,False,False,True,True,True,False,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
116,False,False,True,True,True,False,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
117,False,False,True,True,True,False,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
118,False,False,True,True,True,False,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
119,False,False,True,True,True,False,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
120,False,False,True,True,True,True,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
121,False,False,True,True,True,True,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
122,False,False,True,True,True,True,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
123,False,False,True,True,True,True,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
124,False,False,True,True,True,True,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
125,False,False,True,True,True,True,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
126,False,False,True,True,True,True,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
